"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","50.0","14.2","10.9","16.6","3.1","0.0","347.0","5,449.0","118.8"
"Baltimore Ravens","","51.1","14.2","11.0","16.5","2.7","0.0","323.8","5,269.0","117.4"
"New York Jets","","48.0","14.5","9.7","15.5","2.8","1.0","339.9","5,166.3","115.4"
"Philadelphia Eagles","","50.9","13.1","10.3","15.0","2.5","0.0","382.2","5,582.2","112.4"
"Houston Texans","","49.3","13.3","10.7","15.5","2.4","0.5","393.2","5,704.7","112.4"
"Kansas City Chiefs","","50.1","12.1","10.0","15.8","2.7","0.5","337.9","5,285.0","111.7"
"Pittsburgh Steelers","","48.5","13.6","9.8","15.8","2.7","0.0","351.6","5,616.3","111.4"
"San Francisco 49ers","","44.1","15.1","9.3","13.8","2.7","0.5","327.4","5,504.0","110.3"
"Cleveland Browns","","47.5","13.4","9.2","14.4","2.9","0.0","358.1","5,227.4","109.8"
"Buffalo Bills","","45.8","13.4","10.7","18.0","2.4","0.5","349.2","5,610.9","109.2"
"Indianapolis Colts","","49.0","12.4","9.9","15.8","2.4","0.5","409.0","5,693.2","109.1"
"Miami Dolphins","","47.7","12.4","10.4","17.5","2.5","0.5","376.8","5,508.3","108.9"
"Cincinnati Bengals","","46.6","13.2","10.0","16.1","2.4","0.0","365.6","5,771.7","107.6"
"Los Angeles Chargers","","46.1","11.5","10.6","18.1","2.4","0.5","384.9","5,708.9","105.6"
"Jacksonville Jaguars","","41.2","13.0","10.9","16.2","2.7","0.0","383.9","5,643.2","105.2"
"Green Bay Packers","","43.9","13.3","9.2","14.7","2.5","0.5","381.6","5,798.5","104.8"
"Washington Commanders","","47.9","11.5","9.9","15.7","2.1","0.5","431.3","5,758.6","104.6"
"New York Giants","","41.7","12.3","11.4","19.5","2.5","0.0","398.5","5,813.1","104.1"
"New Orleans Saints","","41.9","13.4","10.0","14.4","2.5","0.0","362.0","5,534.1","103.9"
"Seattle Seahawks","","45.0","12.6","9.5","14.3","2.2","0.5","396.7","5,845.0","103.0"
"Tampa Bay Buccaneers","","45.3","11.5","10.1","18.0","2.4","0.0","372.4","5,672.2","103.0"
"Las Vegas Raiders","","44.8","11.3","9.5","15.1","2.6","0.5","387.3","5,648.0","102.8"
"Denver Broncos","","42.0","11.2","11.1","18.9","2.4","0.5","406.7","5,961.8","101.8"
"Minnesota Vikings","","43.8","12.3","9.6","17.1","2.3","0.0","404.7","5,648.2","101.5"
"Atlanta Falcons","","44.7","12.2","9.0","13.8","2.2","0.5","376.4","5,373.7","101.4"
"Detroit Lions","","41.0","13.4","9.1","12.8","2.2","0.5","401.2","5,831.9","100.5"
"Chicago Bears","","37.3","14.7","8.9","13.2","2.2","0.5","376.5","5,535.4","99.0"
"Los Angeles Rams","","40.9","13.1","8.2","12.0","2.2","0.5","406.8","5,859.4","97.3"
"Tennessee Titans","","42.5","11.1","9.1","13.1","2.1","0.0","393.8","5,717.8","95.6"
"New England Patriots","","36.0","12.5","9.5","13.9","2.4","0.0","405.6","5,663.7","94.5"
"Arizona Cardinals","","38.9","11.9","8.8","13.5","2.3","0.0","427.1","6,031.9","94.1"
"Carolina Panthers","","36.9","11.6","8.3","11.3","2.3","0.0","403.1","5,555.5","90.1"
""
""
