"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","520.3","339.4","3,810.6","24.4","12.1","145.3","624.2","11.3","3.8","360.5"
"Josh Allen","BUF","564.8","368.0","4,062.0","27.7","14.0","108.1","556.6","8.8","4.0","360.1"
"Lamar Jackson","BAL","463.6","303.7","3,567.1","25.0","10.6","146.1","836.1","5.4","4.4","339.2"
"Patrick Mahomes II","KC","584.7","392.2","4,371.2","32.7","11.2","72.0","376.4","1.8","3.1","336.8"
"Anthony Richardson","IND","511.6","325.5","3,502.8","20.0","11.4","127.6","646.0","7.9","5.0","310.3"
"Dak Prescott","DAL","574.1","386.3","4,191.2","30.8","12.0","51.9","221.5","2.0","2.8","307.6"
"C.J. Stroud","HOU","556.9","362.5","4,334.8","29.4","10.1","43.8","183.8","2.4","3.6","306.1"
"Joe Burrow","CIN","580.2","388.9","4,239.2","30.1","11.5","56.7","191.3","2.1","3.1","304.5"
"Kyler Murray","ARI","530.7","353.8","3,710.8","21.8","12.1","96.1","530.7","5.2","2.6","302.6"
"Jordan Love","GB","545.5","355.1","3,988.1","29.4","11.5","45.7","200.3","2.4","3.0","294.1"
"Brock Purdy","SF","498.2","336.2","4,077.6","29.6","10.8","44.1","162.0","1.9","2.6","293.4"
"Jayden Daniels","WAS","543.4","338.7","3,580.0","20.0","13.8","114.6","594.8","5.0","4.4","290.1"
"Caleb Williams","CHI","532.7","346.6","3,783.8","25.3","13.4","77.5","361.3","3.3","4.3","286.3"
"Trevor Lawrence","JAC","566.2","373.3","3,983.9","24.3","12.5","66.1","306.2","3.5","4.8","286.1"
"Justin Herbert","LAC","544.4","356.0","3,849.2","24.5","9.9","64.6","263.2","2.7","3.0","278.6"
"Deshaun Watson","CLE","545.0","334.5","3,748.8","22.9","13.3","77.3","386.1","3.2","3.8","278.1"
"Jared Goff","DET","568.9","384.0","4,231.8","28.1","10.6","24.6","55.7","1.1","3.1","277.1"
"Tua Tagovailoa","MIA","545.0","371.0","4,268.9","27.3","12.5","31.8","88.8","0.6","3.8","272.5"
"Baker Mayfield","TB","562.0","355.1","3,943.0","25.7","11.9","51.9","171.1","1.4","3.3","267.9"
"Kirk Cousins","ATL","533.3","349.6","4,016.6","27.0","10.5","34.0","99.7","1.4","4.5","267.8"
"Matthew Stafford","LAR","552.8","355.3","4,126.4","26.8","12.5","23.4","66.0","0.6","2.2","265.6"
"Aaron Rodgers","NYJ","544.5","359.5","3,840.8","26.2","9.0","33.2","109.7","1.3","2.7","262.9"
"Geno Smith","SEA","522.7","342.5","3,755.0","24.1","11.9","50.6","203.9","1.7","3.1","259.4"
"Will Levis","TEN","512.7","323.0","3,726.9","22.1","12.4","53.9","185.5","2.2","4.2","248.8"
"Daniel Jones","NYG","493.9","322.3","3,227.5","16.6","10.6","95.0","469.2","3.5","3.6","245.6"
"Derek Carr","NO","544.5","363.5","3,842.4","24.5","10.9","24.7","71.1","0.5","3.2","244.3"
"Sam Darnold","MIN","541.0","343.7","3,721.9","21.9","14.4","44.5","173.2","2.1","4.1","244.1"
"Bo Nix","DEN","496.5","309.7","3,210.7","19.0","12.1","61.4","281.1","2.4","3.6","227.7"
"Bryce Young","CAR","531.3","333.0","3,449.9","19.2","11.9","43.0","237.1","1.2","3.5","227.2"
"Russell Wilson","PIT","430.6","274.2","2,884.1","17.5","9.2","64.4","292.9","2.4","3.5","213.0"
"Drake Maye","NE","438.0","277.4","3,053.0","15.7","12.6","58.0","265.7","2.1","2.6","206.6"
"Gardner Minshew II","LV","413.6","259.4","2,794.2","16.0","10.3","34.0","123.3","1.8","2.9","182.7"
"Justin Fields","PIT","115.3","70.7","841.1","4.6","3.4","42.5","234.2","1.8","1.8","79.4"
"Taysom Hill","NO","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","75.8"
"Aidan O'Connell","LV","202.6","127.9","1,243.7","6.4","4.6","18.1","36.6","0.3","1.0","74.6"
"Jacoby Brissett","NE","109.4","69.7","706.9","4.1","2.7","9.7","36.7","0.1","1.0","44.6"
"Sam Howell","SEA","72.9","46.9","495.4","3.1","2.2","8.0","39.0","0.4","0.5","35.4"
"Drew Lock","NYG","74.1","46.4","505.1","3.3","1.8","7.9","24.9","0.1","0.6","33.9"
"Nick Mullens","MIN","82.9","53.6","561.8","3.0","2.1","5.6","18.2","0.1","0.7","33.3"
"Jarrett Stidham","DEN","64.4","40.1","439.5","2.4","1.8","8.1","25.9","0.3","0.6","28.9"
"Jameis Winston","CLE","60.5","37.6","424.0","2.5","2.0","5.8","21.6","0.1","0.2","27.0"
"Michael Penix Jr.","ATL","42.1","25.8","334.1","2.5","1.3","3.4","21.1","0.4","0.5","25.6"
"Jake Browning","CIN","50.6","32.7","328.0","2.4","1.0","5.6","23.5","0.2","0.2","24.7"
"Spencer Rattler","NO","66.5","43.6","336.6","2.4","0.8","5.5","22.2","0.1","0.2","24.5"
"Desmond Ridder","ARI","51.0","32.0","375.0","2.0","2.0","6.0","21.0","0.0","0.0","23.1"
"Hendon Hooker","DET","68.1","44.1","338.4","1.9","1.4","6.1","25.7","0.2","0.3","22.9"
"Josh Johnson","BAL","42.7","26.7","293.5","1.9","0.9","8.8","37.0","0.3","0.3","22.9"
"Mitchell Trubisky","BUF","45.9","30.4","275.1","2.0","1.3","8.0","26.7","0.3","0.2","22.0"
"Jimmy Garoppolo","LAR","46.9","30.5","317.7","2.1","1.0","3.8","10.6","0.0","0.1","21.3"
