"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","273.0","1,291.1","11.6","69.9","567.6","4.8","1.7","281.1"
"Breece Hall","NYJ","249.2","1,129.2","8.1","66.9","529.7","3.8","1.4","234.7"
"Bijan Robinson","ATL","244.0","1,112.9","7.4","65.5","534.6","4.3","2.2","230.4"
"Jonathan Taylor","IND","283.3","1,269.4","10.1","37.2","278.8","1.6","1.4","222.1"
"Saquon Barkley","PHI","269.4","1,129.4","9.1","48.0","344.3","3.0","1.7","216.5"
"Derrick Henry","BAL","266.6","1,194.0","11.2","24.4","195.5","0.9","1.0","209.1"
"Kyren Williams","LAR","251.3","1,136.2","10.1","35.5","259.7","2.0","1.7","208.9"
"Isiah Pacheco","KC","238.6","1,065.9","8.5","41.0","273.0","2.0","1.4","194.2"
"Jahmyr Gibbs","DET","202.6","941.3","8.4","54.6","390.0","2.2","1.4","194.0"
"Travis Etienne Jr.","JAC","250.1","1,024.9","8.2","46.2","358.7","1.2","1.3","192.0"
"Josh Jacobs","GB","251.4","1,041.0","8.3","39.4","300.4","1.2","1.1","188.7"
"James Cook","BUF","231.7","1,033.3","5.1","45.0","382.4","2.8","1.4","186.2"
"De'Von Achane","MIA","175.1","907.3","7.2","45.5","348.1","2.9","0.9","184.4"
"Joe Mixon","HOU","244.8","961.7","7.6","40.1","304.3","2.2","0.9","183.3"
"Rachaad White","TB","238.8","924.9","6.5","53.5","403.5","2.4","1.7","182.9"
"Kenneth Walker III","SEA","240.3","1,004.0","9.0","29.1","225.0","1.0","0.9","181.0"
"Alvin Kamara","NO","204.7","802.5","5.3","68.9","488.0","2.3","0.9","172.8"
"David Montgomery","DET","202.8","893.4","9.8","22.4","168.0","0.8","0.9","168.1"
"Aaron Jones","MIN","189.3","869.1","5.5","43.3","317.5","2.0","1.0","161.2"
"Zamir White","LV","234.8","987.0","5.7","32.9","230.0","0.8","1.3","158.2"
"Najee Harris","PIT","237.2","948.8","6.6","29.0","182.9","1.2","1.0","157.7"
"James Conner","ARI","201.7","883.5","6.7","32.6","222.5","1.4","0.9","157.4"
"Raheem Mostert","MIA","168.7","804.4","8.5","25.0","175.8","1.3","1.0","154.6"
"Rhamondre Stevenson","NE","212.0","881.3","5.7","41.7","285.9","0.8","1.0","154.1"
"D'Andre Swift","CHI","178.3","810.4","5.2","36.1","248.8","1.6","1.0","144.4"
"Tony Pollard","TEN","190.8","823.8","5.6","33.7","233.9","0.8","0.9","142.8"
"Javonte Williams","DEN","202.3","828.2","4.7","40.8","244.9","1.5","0.9","142.7"
"Brian Robinson Jr.","WAS","185.4","776.2","5.3","28.8","242.3","1.8","1.5","141.5"
"Devin Singletary","NYG","196.3","847.4","5.0","33.0","213.0","0.7","1.0","138.0"
"Zack Moss","CIN","169.2","734.3","5.8","28.7","199.0","1.4","0.5","135.5"
"Gus Edwards","LAC","183.7","780.3","7.0","15.0","130.9","0.4","1.3","132.8"
"Jaylen Warren","PIT","142.4","685.7","3.9","48.3","330.1","1.7","1.4","132.6"
"Ezekiel Elliott","DAL","172.7","671.2","5.7","29.4","195.8","1.3","1.0","127.1"
"Chase Brown","CIN","141.1","613.2","4.0","37.3","304.4","1.9","0.6","125.8"
"Tyjae Spears","TEN","143.6","626.7","3.6","43.3","337.1","1.5","0.9","125.5"
"Austin Ekeler","WAS","126.6","524.1","4.2","46.8","372.2","2.0","1.7","123.4"
"Nick Chubb","CLE","157.8","757.8","5.2","17.5","138.4","0.6","0.8","122.9"
"Jerome Ford","CLE","153.0","613.3","3.7","32.5","230.9","1.8","0.8","115.9"
"Jonathon Brooks","CAR","152.2","664.6","4.4","22.5","173.3","0.9","1.6","112.2"
"J.K. Dobbins","LAC","133.6","571.7","3.9","24.3","183.0","1.5","0.9","105.9"
"Ty Chandler","MIN","146.6","598.9","4.3","20.7","151.9","0.6","0.8","103.3"
"Rico Dowdle","DAL","140.6","546.4","3.6","23.6","181.0","1.2","0.4","100.8"
"Tyler Allgeier","ATL","134.4","549.4","3.8","21.1","167.7","1.2","0.8","100.2"
"Chuba Hubbard","CAR","144.3","582.7","3.7","25.9","180.0","0.5","0.9","99.6"
"Blake Corum","LAR","133.7","559.3","4.3","19.0","147.6","0.7","1.5","97.9"
"Trey Benson","ARI","131.8","570.9","3.9","18.7","137.0","0.9","1.5","96.2"
"Khalil Herbert","CHI","148.1","597.0","3.4","16.6","114.9","0.9","0.8","95.0"
"Jaleel McLaughlin","DEN","102.7","498.5","2.7","31.8","208.6","1.0","0.8","91.4"
"Antonio Gibson","NE","115.5","441.5","2.3","37.8","284.6","1.2","1.4","90.9"
"Zach Charbonnet","SEA","116.3","482.1","2.8","31.8","213.9","0.8","0.8","90.1"
"Bucky Irving","TB","116.4","437.3","2.8","21.0","164.6","1.0","1.5","79.7"
"Jamaal Williams","NO","118.6","432.0","3.1","17.8","101.8","0.3","0.5","72.3"
"Alexander Mattison","LV","113.3","423.8","2.6","14.5","97.9","1.0","0.9","71.8"
"Ray Davis","BUF","89.5","386.8","2.9","16.7","136.4","0.6","1.2","71.2"
"MarShawn Lloyd","GB","87.0","371.7","3.1","14.0","112.2","0.8","1.1","69.7"
"Tyrone Tracy Jr.","NYG","102.4","396.3","2.5","15.8","116.6","0.8","1.1","68.7"
"Braelon Allen","NYJ","99.9","397.1","2.9","11.1","86.1","0.7","0.8","68.6"
"Jordan Mason","SF","82.1","384.9","3.4","8.1","60.0","0.4","0.1","67.4"
"Clyde Edwards-Helaire","KC","65.1","265.8","1.8","18.7","156.3","1.3","0.5","60.1"
"Miles Sanders","CAR","105.5","379.4","2.1","16.6","102.2","0.2","1.2","59.2"
"Tank Bigsby","JAC","101.5","332.0","3.4","8.2","56.8","0.2","2.2","56.0"
"AJ Dillon","GB","76.3","320.2","2.4","7.1","59.7","0.3","0.0","54.5"
"Jaylen Wright","MIA","57.8","267.0","2.2","12.0","99.6","0.7","0.8","52.8"
"Roschon Johnson","CHI","67.7","265.3","2.0","17.3","114.9","0.4","0.8","51.3"
"Dameon Pierce","HOU","72.8","306.2","2.2","10.0","72.6","0.2","0.5","50.8"
"Audric Estime","DEN","68.2","275.6","1.9","12.5","93.7","0.5","1.4","48.3"
"Kenneth Gainwell","PHI","63.1","249.0","1.8","16.7","117.5","0.4","1.2","47.8"
"Kendre Miller","NO","54.2","232.5","1.7","12.4","104.2","0.5","0.7","45.2"
"Keaton Mitchell","BAL","56.0","266.1","1.7","10.0","80.1","0.3","0.7","45.2"
"Justice Hill","BAL","57.8","231.1","1.6","14.1","104.0","0.5","0.8","44.2"
"Pierre Strong Jr.","CLE","69.8","286.2","1.6","7.4","57.1","0.2","1.5","42.3"
"Kimani Vidal","LAC","47.0","231.8","1.6","10.8","76.5","0.3","0.1","41.7"
"Elijah Mitchell","SF","59.5","253.9","1.8","4.1","26.3","0.2","0.0","39.7"
"Eric Gray","NYG","41.4","211.9","1.5","10.8","73.5","0.2","0.1","38.4"
"Ty Johnson","BUF","39.7","165.3","1.1","12.4","105.5","0.6","0.2","37.1"
"Trey Sermon","IND","47.2","237.5","1.3","6.9","47.8","0.1","0.1","36.7"
"Isaac Guerendo","SF","39.2","214.9","1.5","6.5","52.9","0.1","0.1","36.4"
"Will Shipley","PHI","36.6","192.3","1.6","6.4","48.2","0.4","0.1","35.6"
"Emanuel Wilson","GB","33.8","176.0","1.2","9.0","65.0","0.5","0.1","34.2"
"Emari Demercado","ARI","35.9","154.3","1.1","14.8","97.7","0.4","0.4","33.6"
"Dalvin Cook","DAL","32.0","197.0","1.5","5.0","38.0","0.0","0.0","32.5"
"Deuce Vaughn","DAL","40.0","153.5","1.2","9.6","71.5","0.5","0.4","31.7"
"Cordarrelle Patterson","PIT","36.0","152.0","1.1","10.1","77.4","0.3","0.1","31.4"
"Isaiah Davis","NYJ","45.7","163.8","1.3","5.3","39.1","0.1","0.1","28.4"
"Dylan Laube","LV","26.9","145.2","1.1","7.3","54.2","0.1","0.0","27.0"
"Carson Steele","KC","27.3","143.5","1.1","6.5","47.6","0.1","0.1","26.5"
"Tyler Goodson","IND","25.2","131.1","0.9","7.5","54.3","0.4","0.1","25.7"
"Jase McClellan","ATL","31.2","129.2","1.0","5.4","43.7","0.4","0.0","25.5"
"Rasheen Ali","BAL","26.4","149.1","1.2","3.9","31.0","0.1","0.0","25.2"
"Cam Akers","HOU","39.1","152.6","1.0","3.9","29.7","0.2","0.1","25.2"
"Evan Hull","IND","22.0","111.1","0.7","6.9","49.8","0.7","0.0","24.4"
"Chase Edmonds","TB","0.0","88.0","1.0","11.0","83.0","0.0","0.0","23.1"
"Kyle Juszczyk","SF","5.6","20.2","0.1","14.2","136.7","1.1","0.0","22.8"
"Ronnie Rivers","LAR","30.0","118.1","0.8","4.6","33.3","0.1","0.0","20.2"
"Ameer Abdullah","LV","26.7","102.3","0.2","10.7","78.4","0.1","0.0","20.1"
"D'Ernest Johnson","JAC","31.8","113.9","0.5","5.5","39.3","0.1","0.1","19.0"
"Craig Reynolds","DET","21.6","102.4","0.8","4.1","33.4","0.1","0.1","18.6"
"Jeremy McNichols","WAS","18.4","69.5","0.2","9.2","69.7","0.4","0.0","16.9"
"Kenny McIntosh","SEA","26.8","88.9","0.6","4.4","32.3","0.1","0.1","16.3"
"Julius Chestnut","TEN","20.7","81.0","0.6","4.5","34.8","0.1","0.1","15.9"
"Blake Watson","DEN","14.6","84.1","0.7","4.0","28.6","0.1","0.0","15.9"
"Jordan Mims","NO","20.7","74.8","0.7","4.0","28.9","0.1","0.0","15.4"
"JaMycal Hasty","NE","21.3","72.1","0.5","6.9","44.2","0.1","0.1","15.1"
"Hunter Luepke","DAL","7.4","26.2","1.4","4.0","27.1","0.2","0.0","14.9"
