"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.5","963.9","7.5","0.8","140.7"
"Sam LaPorta","DET","86.3","894.0","7.7","0.4","134.9"
"Mark Andrews","BAL","71.9","869.9","7.9","0.5","133.4"
"George Kittle","SF","65.4","881.8","6.0","0.4","123.4"
"Kyle Pitts","ATL","67.8","875.4","5.2","0.4","117.6"
"Trey McBride","ARI","86.0","881.4","5.1","0.5","117.5"
"Dalton Kincaid","BUF","82.3","821.8","5.4","0.8","112.9"
"Jake Ferguson","DAL","70.7","736.1","5.9","0.4","108.1"
"David Njoku","CLE","69.9","772.1","5.4","1.2","107.5"
"Evan Engram","JAC","85.6","788.3","4.4","0.9","103.2"
"Brock Bowers","LV","62.6","696.4","4.6","1.1","95.0"
"Dallas Goedert","PHI","65.4","690.7","4.0","0.5","92.2"
"Dalton Schultz","HOU","56.9","607.7","4.9","0.8","88.4"
"Taysom Hill","NO","28.0","265.7","2.1","0.4","83.1"
"Pat Freiermuth","PIT","55.7","582.6","4.2","0.5","82.6"
"T.J. Hockenson","MIN","57.3","573.3","3.2","0.8","74.9"
"Hunter Henry","NE","47.7","494.9","4.2","0.1","74.8"
"Cole Kmet","CHI","50.9","503.3","4.2","0.5","74.6"
"Tyler Conklin","NYJ","53.3","532.1","3.3","0.1","73.0"
"Cade Otton","TB","49.2","489.6","3.7","0.4","70.6"
"Luke Musgrave","GB","46.7","488.9","3.4","0.1","69.1"
"Juwan Johnson","NO","40.5","441.2","4.1","0.1","68.8"
"Chigoziem Okonkwo","TEN","48.2","513.3","2.7","0.4","66.7"
"Noah Fant","SEA","45.9","489.8","2.8","0.1","65.4"
"Isaiah Likely","BAL","34.2","411.5","3.9","0.1","64.4"
"Jonnu Smith","MIA","37.8","415.8","2.9","0.4","57.9"
"Hayden Hurst","LAC","40.6","390.6","2.9","0.1","56.1"
"Mike Gesicki","CIN","35.9","352.6","3.1","0.1","53.8"
"Ben Sinnott","WAS","36.8","376.2","2.4","0.4","51.4"
"Zach Ertz","WAS","38.0","351.0","2.7","0.1","51.0"
"Tucker Kraft","GB","33.9","353.9","2.6","0.1","50.7"
"Greg Dulcich","DEN","34.6","387.1","1.9","0.1","50.2"
"Dawson Knox","BUF","28.3","297.4","3.3","0.1","49.3"
"Kylen Granson","IND","31.0","333.2","2.1","0.1","45.7"
"Ja'Tavion Sanders","CAR","30.8","320.7","2.4","0.4","45.4"
"Gerald Everett","CHI","32.2","298.5","2.5","0.1","44.8"
"Tyler Higbee","LAR","31.5","321.4","2.0","0.1","44.1"
"Michael Mayer","LV","29.1","313.1","2.0","0.1","43.1"
"Daniel Bellinger","NYG","33.2","314.4","2.0","0.1","43.1"
"Theo Johnson","NYG","32.3","312.4","2.0","0.6","42.1"
