"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","116.1","1,487.7","9.7","9.8","68.4","0.8","1.1","216.4"
"Tyreek Hill","MIA","110.1","1,542.4","9.9","5.2","30.5","0.1","1.0","215.4"
"Ja'Marr Chase","CIN","106.5","1,357.2","9.1","3.0","12.6","0.1","0.7","190.6"
"Justin Jefferson","MIN","105.2","1,445.2","7.4","1.2","3.8","0.0","1.0","187.5"
"Amon-Ra St. Brown","DET","110.9","1,354.7","8.2","4.5","31.3","0.1","0.9","186.5"
"A.J. Brown","PHI","92.9","1,318.3","8.2","0.0","1.4","0.0","1.3","178.7"
"Puka Nacua","LAR","94.7","1,299.8","7.2","8.9","54.7","0.2","0.7","178.2"
"Garrett Wilson","NYJ","95.2","1,189.5","8.2","3.9","19.2","0.1","1.3","167.7"
"Deebo Samuel Sr.","SF","67.0","926.1","5.9","33.9","199.6","3.0","1.0","163.8"
"Mike Evans","TB","75.5","1,120.2","8.4","0.0","1.2","0.0","0.5","161.6"
"Chris Olave","NO","89.8","1,204.7","6.5","0.0","1.0","0.0","0.6","158.5"
"Nico Collins","HOU","78.5","1,152.0","7.2","1.4","8.6","0.0","0.5","158.5"
"Marvin Harrison Jr.","ARI","88.4","1,176.6","6.8","0.5","3.6","0.0","1.5","155.8"
"Drake London","ATL","87.8","1,145.4","7.0","0.0","2.2","0.0","0.9","155.0"
"DK Metcalf","SEA","73.9","1,068.7","8.1","0.0","1.2","0.0","0.5","154.5"
"Brandon Aiyuk","SF","74.2","1,117.5","7.1","0.8","4.0","0.0","0.9","153.2"
"Davante Adams","LV","93.1","1,129.3","6.5","0.0","1.0","0.0","0.5","150.9"
"Cooper Kupp","LAR","85.8","1,061.5","7.3","2.9","17.4","0.1","0.5","150.8"
"DeVonta Smith","PHI","84.8","1,082.4","7.1","0.0","1.2","0.0","0.9","149.0"
"Jaylen Waddle","MIA","81.4","1,114.9","5.7","3.6","21.1","0.1","0.5","147.1"
"DJ Moore","CHI","75.6","1,037.7","7.0","2.3","15.1","0.2","0.9","146.7"
"Amari Cooper","CLE","73.2","1,106.0","6.3","0.0","1.0","0.0","0.9","146.5"
"George Pickens","PIT","70.7","1,089.7","6.0","2.6","16.9","0.0","0.9","145.2"
"Tee Higgins","CIN","70.6","1,012.2","7.3","0.0","1.0","0.0","0.5","144.1"
"Tank Dell","HOU","69.2","945.3","7.0","11.1","61.6","0.2","0.6","142.2"
"Stefon Diggs","HOU","85.1","1,031.8","6.6","1.9","9.1","0.1","1.0","142.0"
"Malik Nabers","NYG","80.8","1,073.4","5.8","0.5","5.0","0.0","1.2","140.5"
"Calvin Ridley","TEN","71.3","974.9","6.9","2.9","14.8","0.0","0.5","139.7"
"Zay Flowers","BAL","79.4","964.8","6.2","7.4","46.3","0.6","1.0","139.7"
"Michael Pittman Jr.","IND","96.5","1,061.3","5.0","0.3","3.0","0.0","1.0","134.6"
"Rashee Rice","KC","78.5","927.9","7.1","1.5","7.0","0.0","1.0","134.4"
"Chris Godwin","TB","83.1","988.4","5.3","2.7","20.9","0.3","0.5","132.9"
"Christian Kirk","JAC","81.2","1,010.2","5.4","1.0","6.4","0.0","1.3","131.8"
"Terry McLaurin","WAS","77.2","1,024.8","4.6","0.3","2.2","0.0","0.5","129.5"
"Jayden Reed","GB","64.1","796.1","5.9","8.9","73.4","1.1","0.6","128.0"
"Diontae Johnson","CAR","72.8","905.9","5.7","1.0","7.2","0.0","0.6","124.6"
"Christian Watson","GB","53.7","779.7","7.0","4.1","24.3","0.3","0.5","122.8"
"Keenan Allen","CHI","79.4","890.5","5.6","1.0","6.3","0.0","1.0","121.3"
"Xavier Worthy","KC","57.9","839.1","6.0","3.8","23.2","0.1","0.8","121.2"
"DeAndre Hopkins","TEN","64.4","847.8","5.7","0.3","2.8","0.0","0.5","118.3"
"Courtland Sutton","DEN","64.4","831.6","6.1","0.0","1.2","0.0","1.3","117.3"
"Jordan Addison","MIN","64.1","826.1","5.8","0.3","4.0","0.0","0.5","116.9"
"Rome Odunze","CHI","62.2","847.4","5.4","1.0","6.4","0.0","1.1","115.4"
"Brian Thomas Jr.","JAC","63.5","847.3","5.0","0.7","6.0","0.0","1.1","113.3"
"Jameson Williams","DET","53.8","758.8","4.7","4.5","42.0","0.7","0.6","111.5"
