"Player","Team","FG","FGA","XPT","FPTS"
"Younghoe Koo","ATL","33.1","37.8","47.8","146.9"
"Justin Tucker","BAL","31.5","35.5","46.7","141.3"
"Harrison Butker","KC","30.5","34.5","47.4","138.8"
"Brandon Aubrey","DAL","31.9","35.5","42.7","138.5"
"Jake Elliott","PHI","29.3","32.8","47.6","135.6"
"Jason Myers","SEA","31.5","36.6","38.9","133.5"
"Ka'imi Fairbairn","HOU","29.9","33.9","42.1","131.8"
"Cameron Dicker","LAC","30.0","33.2","41.4","131.4"
"Blake Grupe","NO","29.8","34.9","40.7","130.2"
"Greg Zuerlein","NYJ","30.4","34.8","38.3","129.6"
"Evan McPherson","CIN","27.8","32.2","45.4","128.7"
"Tyler Bass","BUF","27.6","33.8","45.8","128.5"
"Cairo Santos","CHI","30.0","33.6","38.2","128.1"
"Jake Moody","SF","26.7","31.5","47.8","128.0"
"Matt Gay","IND","29.5","34.5","39.2","127.6"
"Jason Sanders","MIA","27.2","32.2","44.9","126.4"
"Chase McLaughlin","TB","28.2","32.2","38.3","122.8"
"Matt Prater","ARI","28.9","33.6","35.3","121.9"
"Dustin Hopkins","CLE","28.3","32.6","36.8","121.6"
"Jake Bates","DET","25.6","30.5","44.2","120.9"
"Cam Little","JAC","28.2","33.9","36.3","120.9"
"Joshua Karty","LAR","27.5","33.5","38.2","120.6"
"Chris Boswell","PIT","27.5","31.6","32.3","114.8"
"Nick Folk","TEN","27.4","30.6","32.2","114.3"
"Wil Lutz","DEN","27.1","32.3","32.5","113.7"
"Daniel Carlson","LV","26.9","30.6","31.8","112.6"
"Will Reichard","MIN","25.6","30.6","31.6","108.3"
"Eddy Pineiro","CAR","25.9","30.6","29.7","107.5"
"Cade York","WAS","24.5","30.3","33.3","106.8"
"Graham Gano","NYG","25.0","30.0","29.6","104.5"
"Joey Slye","NE","23.4","27.9","27.0","97.2"
""
""
